date,hour,day_of_week,charging_ratio,screen_on_ratio,avg_cpu_usage,avg_ram_usage,sum,mean,median,min,max,range,rms,std_dev,variance,q1,q2,q3,iqr,skewness,kurtosis,DL,DH,LUP_count,HUP_count,UMR,FMU,device_id,battery_capacity,ram_capacity,core_numbers,avg_cpu,avg_screen_on,avg_brightness,gps_on_ratio,bluetooth_ratio,wifi_tx,wifi_rx,mobile_tx,mobile_rx,battery_current_avg,battery_power_avg,bg_app_count_avg,bg_app_count_max,total_apps,num_user_apps,num_system_apps,num_foreground_apps,num_background_apps,sum_norm_device,mean_norm_device,median_norm_device,max_norm_device,range_norm_device,rms_norm_device,std_dev_norm_device,variance_norm_device,sum_norm_battery,mean_norm_battery,median_norm_battery,max_norm_battery,range_norm_battery,rms_norm_battery,std_dev_norm_battery,variance_norm_battery,total_apps_norm_device,num_user_apps_norm_device,num_system_apps_norm_device,num_foreground_apps_norm_device,num_background_apps_norm_device,energy_norm_combined
2023-12-18,10,0,1.0,1.0,59.86141008709691,2906971287.7966666,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3600,0,0,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,59.86141008709691,1.0,129.0,1.0,1.0,560621,521104,0,0,-82.9546920175243,-0.3047031542303615,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.0
2023-12-18,11,0,1.0,1.0,52.57812019324925,2796087966.1161118,0.01,2.777777777777778e-06,-0.0,-0.0,0.01,0.01,0.0001666666666666,0.0001666666666666,2.777777777777815e-08,-0.0,-0.0,0.0,0.0,59.99999999999999,3600.0,3599,0,1,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,52.57812019324925,1.0030555555555556,87.04444444444445,1.0,1.0,361726,286288,0,0,-106.00168535288199,-0.38833376199698794,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.001081081081081081,0.0010727761618444134,-0.0,0.004366812227074236,0.004366812227074236,0.002441244941537633,0.0024429274829170793,0.0010368562776998337,1.693480101608806e-06,4.704111393357795e-10,-0.0,1.693480101608806e-06,1.693480101608806e-06,2.822466836013548e-08,2.822466836013548e-08,4.704111393357858e-12,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.016808510399228514
2023-12-18,12,0,1.0,1.0,47.52665248981038,2868079272.391111,0.01,2.777777777777778e-06,-0.0,-0.0,0.01,0.01,0.0001666666666666,0.0001666666666666,2.777777777777813e-08,-0.0,-0.0,0.0,0.0,59.999999999999964,3600.0,3599,0,1,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,47.52665248981038,1.0,42.119166666666665,1.0,1.0,647220,1129563,0,0,1150.9841666666666,4.71234560102,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.001081081081081081,0.0010727761618444134,-0.0,0.004366812227074236,0.004366812227074236,0.002441244941537633,0.0024429274829170793,0.001036856277699833,1.693480101608806e-06,4.704111393357795e-10,-0.0,1.693480101608806e-06,1.693480101608806e-06,2.822466836013548e-08,2.822466836013548e-08,4.704111393357854e-12,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.016808510399228514
2023-12-18,13,0,1.0,1.0,44.36668165424305,2926136800.5425,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3600,0,0,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,44.36668165424305,1.0,39.65222222222222,1.0,1.0,894214,1403510,0,0,2278.7234479876993,9.27117599691987,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.0
2023-12-18,14,0,1.0,1.0,48.3902923879688,2879597920.8475,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3600,0,0,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,48.3902923879688,1.0630555555555556,116.7025,1.0,1.0,954597,1542917,0,0,2684.8012585238666,10.90943581949122,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.0
2023-12-18,15,0,1.0,1.0,55.66720753071209,2798015206.9688888,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3600,0,0,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,55.66720753071209,1.2552777777777777,116.97888888888889,1.0,1.0,1001835,1543559,0,0,2104.3091666666664,8.817487568916667,1.5665024630541873,346.0,370.0,325.0,45.0,1.0,369.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.0
2023-12-18,16,0,1.0,1.0,37.86864463523776,3076557539.555556,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3600,0,0,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,37.868644635237764,1.1916666666666667,114.0,1.0,1.0,893879,1544395,0,0,1343.1930555555555,5.962950787583334,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.0
2023-12-18,17,0,1.0,1.0,42.82358902609455,3276460852.3377776,0.02,5.555555555555556e-06,-0.0,-0.0,0.01,0.01,0.0002357022603955,0.0002356695125995,5.55401191689092e-08,-0.0,-0.0,0.0,0.0,42.40871568861783,1797.4977760790446,3598,0,2,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,42.823589026094545,1.4316666666666666,109.86861111111111,1.0,1.0,969387,1329478,0,0,-259.04083333333335,-1.1132615515075002,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.002162162162162162,0.002145552323688827,-0.0,0.004366812227074236,0.004366812227074236,0.0034524417053983826,0.00345434117529133,0.0020731363640812653,3.386960203217612e-06,9.40822278671559e-10,-0.0,1.693480101608806e-06,1.693480101608806e-06,3.991570878839966e-08,3.991016301430991e-08,9.405608665352955e-12,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.022021258184770437
2023-12-18,18,0,1.0,1.0,34.27975861143211,3311877365.76,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3600,0,0,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,34.27975861143211,1.0,97.0,1.0,1.0,863170,1109841,0,0,-79.74055555555556,-0.34448614157,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.0
2023-12-18,19,0,1.0,1.0,35.21100770282933,3293149590.1866665,0.01,2.777777777777778e-06,-0.0,-0.0,0.01,0.01,0.0001666666666666,0.0001666666666666,2.7777777777779223e-08,-0.0,-0.0,0.0,0.0,59.99999999999995,3599.999999999999,3599,0,1,0,,1,70a09b5174d07fff,5905.0,5917945856.0,8.0,35.21100770282933,1.0,97.0,1.0,1.0,1035915,1057227,0,0,-80.56666666666666,-0.3485286219313889,1.0,1.0,370.0,325.0,45.0,1.0,369.0,0.001081081081081081,0.0010727761618444134,-0.0,0.004366812227074236,0.004366812227074236,0.002441244941537633,0.0024429274829170793,0.0010368562776998738,1.693480101608806e-06,4.704111393357795e-10,-0.0,1.693480101608806e-06,1.693480101608806e-06,2.822466836013548e-08,2.822466836013548e-08,4.704111393358039e-12,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.001488095238095238,0.01680851039922855
